wavelength,Global tilt  W*m-2*nm-1
882.0,0.936442
883.0,0.934878
884.0,0.933314
885.0,0.93175
886.0,0.930186
887.0,0.928622
888.0,0.927058
889.0,0.925494
890.0,0.92393
891.0,0.905797
892.0,0.887664
893.0,0.869531
894.0,0.851398
895.0,0.833265
896.0,0.815132
897.0,0.796999
898.0,0.778866
899.0,0.760733
900.0,0.7426
910.0,0.62467
920.0,0.74414
930.0,0.4321
940.0,0.47181
950.0,0.14726
960.0,0.42066
970.0,0.63461
980.0,0.60468
990.0,0.73227
1000.0,0.73532
1010.0,0.71914
1020.0,0.69896
1030.0,0.69055
1040.0,0.6717
1050.0,0.65463
1060.0,0.63585
1070.0,0.60469
1080.0,0.59722
1090.0,0.55573
1100.0,0.48577
1110.0,0.47899
1120.0,0.14189
1130.0,0.070574
1140.0,0.25599
1150.0,0.12164
1160.0,0.28648
1170.0,0.45873
1180.0,0.44069
1190.0,0.46239
1200.0,0.44825
1210.0,0.45336
1220.0,0.45805
1230.0,0.46003
1240.0,0.46077
1250.0,0.45705
1260.0,0.4311
1270.0,0.38744
1280.0,0.42204
1290.0,0.41285
1300.0,0.35312
1310.0,0.30114
1320.0,0.25872
1330.0,0.22923
1340.0,0.16831
1350.0,0.016025
1360.0,2.1404E-06
1370.0,0.000000292
1380.0,0.000081587
1390.0,0.00049328
1400.0,3.2466E-09
1410.0,0.00046653
1420.0,0.0082718
1430.0,0.061601
1440.0,0.039601
1450.0,0.027412
1460.0,0.085421
1470.0,0.049678
1480.0,0.060637
1490.0,0.17478
1500.0,0.25061
1510.0,0.27052
1520.0,0.2645
1530.0,0.25522
1540.0,0.26491
1550.0,0.2699
1560.0,0.26568
1570.0,0.24175
1580.0,0.24464
1590.0,0.24179
1600.0,0.2381
1610.0,0.2176
1620.0,0.23449
1630.0,0.23651
1640.0,0.21511
1650.0,0.22526
1660.0,0.22332
1670.0,0.22168
1680.0,0.20558
1690.0,0.20523
1700.0,0.19975
1702.0,1.99E-01
1705.0,1.93E-01
1710.0,1.83E-01
1715.0,1.85E-01
1720.0,1.82E-01
1725.0,1.74E-01
1730.0,1.70E-01
1735.0,1.58E-01
1740.0,1.64E-01
1745.0,1.51E-01
1750.0,1.62E-01
1755.0,1.49E-01
1760.0,1.56E-01
1765.0,1.30E-01
1770.0,1.38E-01
1775.0,1.12E-01
1780.0,9.81E-02
1785.0,7.52E-02
1790.0,8.68E-02
1795.0,4.59E-02
1800.0,3.11E-02
1805.0,1.45E-02
1810.0,9.48E-03
1815.0,3.21E-03
1820.0,9.66E-04
1825.0,1.25E-03
1830.0,5.09E-06
1835.0,6.28E-06
1840.0,6.13E-08
1845.0,6.13E-06
1850.0,2.93E-06
1855.0,2.78E-07
1860.0,1.09E-05
1865.0,1.66E-05
1870.0,2.61E-10
1875.0,4.43E-10
1880.0,7.61E-05
1885.0,4.31E-05
1890.0,2.20E-04
1895.0,1.27E-04
1900.0,8.49E-07
1905.0,5.58E-07
1910.0,2.27E-05
1915.0,1.97E-05
1920.0,4.45E-04
1925.0,9.23E-04
1930.0,5.45E-04
1935.0,3.54E-03
1940.0,3.24E-03
1945.0,1.07E-02
1950.0,1.65E-02
1955.0,9.89E-03
1960.0,2.16E-02
1965.0,2.81E-02
1970.0,4.81E-02
1975.0,6.67E-02
1980.0,7.42E-02
1985.0,8.16E-02
1990.0,8.41E-02
1995.0,7.98E-02
2000.0,3.75E-02
2005.0,1.47E-02
2010.0,3.91E-02
2015.0,2.62E-02
2020.0,4.42E-02
2025.0,7.28E-02
2030.0,8.35E-02
2035.0,9.48E-02
2040.0,8.83E-02
2045.0,8.96E-02
2050.0,6.69E-02
2055.0,5.41E-02
2060.0,6.82E-02
2065.0,6.10E-02
2070.0,6.47E-02
2075.0,7.63E-02
2080.0,8.55E-02
2085.0,8.38E-02
2090.0,8.78E-02
2095.0,8.84E-02
2100.0,8.49E-02
2105.0,9.18E-02
2110.0,8.83E-02
2115.0,9.03E-02
2120.0,8.63E-02
2125.0,8.73E-02
2130.0,8.84E-02
2135.0,8.87E-02
2140.0,8.94E-02
2145.0,8.81E-02
2150.0,8.34E-02
2155.0,8.36E-02
2160.0,8.29E-02
2165.0,7.52E-02
2170.0,8.08E-02
2175.0,7.93E-02
2180.0,8.06E-02
2185.0,7.35E-02
2190.0,7.79E-02
2195.0,7.78E-02
2200.0,7.02E-02
2205.0,7.29E-02
2210.0,7.82E-02
2215.0,7.52E-02
2220.0,7.66E-02
2225.0,7.44E-02
2230.0,7.47E-02
2235.0,7.33E-02
2240.0,7.21E-02
2245.0,6.99E-02
2250.0,7.10E-02
2255.0,6.69E-02
2260.0,6.61E-02
2265.0,6.74E-02
2270.0,6.41E-02
2275.0,6.33E-02
2280.0,6.56E-02
2285.0,6.24E-02
2290.0,6.25E-02
2295.0,6.06E-02
2300.0,5.82E-02
2305.0,5.85E-02
2310.0,6.32E-02
2315.0,5.75E-02
2320.0,5.15E-02
2325.0,5.56E-02
2330.0,5.62E-02
2335.0,5.74E-02
2340.0,4.54E-02
2345.0,5.09E-02
2350.0,4.11E-02
2355.0,4.70E-02
2360.0,4.97E-02
2365.0,4.89E-02
2370.0,3.05E-02
2375.0,4.37E-02
2380.0,4.21E-02
2385.0,3.05E-02
2390.0,3.67E-02
2395.0,4.02E-02
2400.0,4.37E-02
2405.0,3.33E-02
2410.0,3.35E-02
2415.0,2.71E-02
2420.0,2.64E-02
2425.0,3.28E-02
2430.0,4.47E-02
2435.0,1.48E-02
2440.0,4.29E-02
2445.0,2.07E-02
2450.0,1.35E-02
