Wvlgth nm,Global tilt  W*m-2*nm-1
649,1.35E+00
650,1.36E+00
651,1.44E+00
652,1.39E+00
653,1.43E+00
654,1.42E+00
655,1.35E+00
656,1.19E+00
657,1.24E+00
658,1.39E+00
659,1.39E+00
660,1.40E+00
661,1.39E+00
662,1.38E+00
663,1.38E+00
664,1.40E+00
665,1.42E+00
666,1.42E+00
667,1.41E+00
668,1.42E+00
669,1.44E+00
670,1.42E+00
671,1.42E+00
672,1.40E+00
673,1.41E+00
674,1.41E+00
675,1.40E+00
676,1.41E+00
677,1.40E+00
678,1.41E+00
679,1.39E+00
680,1.40E+00
681,1.39E+00
682,1.40E+00
683,1.38E+00
684,1.37E+00
685,1.37E+00
686,1.34E+00
687,9.68E-01
688,1.12E+00
689,1.13E+00
690,1.18E+00
691,1.23E+00
692,1.27E+00
693,1.26E+00
694,1.25E+00
695,1.27E+00
696,1.27E+00
697,1.34E+00
698,1.32E+00
699,1.29E+00
700,1.28E+00
701,1.27E+00
702,1.27E+00
703,1.27E+00
704,1.31E+00
705,1.32E+00
706,1.31E+00
707,1.31E+00
708,1.30E+00
709,1.31E+00
710,1.32E+00
711,1.32E+00
712,1.31E+00
713,1.29E+00
714,1.30E+00
715,1.26E+00
716,1.27E+00
717,1.11E+00
718,1.03E+00
719,9.23E-01
720,9.86E-01
721,1.09E+00
722,1.24E+00
723,1.14E+00
724,1.06E+00
725,1.04E+00
726,1.08E+00
727,1.09E+00
728,1.04E+00
729,1.05E+00
730,1.13E+00
731,1.07E+00
732,1.15E+00
733,1.20E+00
734,1.24E+00
735,1.22E+00
736,1.21E+00
737,1.20E+00
738,1.23E+00
739,1.19E+00
740,1.22E+00
741,1.21E+00
742,1.22E+00
743,1.24E+00
744,1.25E+00
745,1.25E+00
746,1.25E+00
747,1.25E+00
748,1.24E+00
749,1.24E+00
750,1.23E+00
751,1.23E+00
752,1.23E+00
753,1.23E+00
754,1.24E+00
755,1.24E+00
756,1.22E+00
757,1.22E+00
758,1.23E+00
759,1.19E+00
760,2.66E-01
761,1.54E-01
762,6.88E-01
763,3.80E-01
764,5.39E-01
765,6.86E-01
766,8.15E-01
767,9.74E-01
768,1.11E+00
769,1.13E+00
770,1.16E+00
771,1.17E+00
772,1.18E+00
773,1.18E+00
774,1.18E+00
775,1.18E+00
776,1.18E+00
777,1.17E+00
778,1.17E+00
779,1.18E+00
780,1.16E+00
781,1.16E+00
782,1.17E+00
783,1.16E+00
784,1.15E+00
785,1.16E+00
786,1.16E+00
787,1.15E+00
788,1.13E+00
789,1.13E+00
790,1.09E+00
791,1.11E+00
792,1.10E+00
793,1.09E+00
794,1.10E+00
795,1.09E+00
796,1.07E+00
797,1.09E+00
798,1.11E+00
799,1.09E+00
800,1.07E+00
801,1.08E+00
802,1.09E+00
803,1.07E+00
804,1.08E+00
805,1.05E+00
806,1.10E+00
807,1.09E+00
808,1.08E+00
809,1.05E+00
810,1.06E+00
811,1.05E+00
812,1.03E+00
813,1.01E+00
814,9.04E-01
815,8.95E-01
816,8.32E-01
817,8.52E-01
818,8.23E-01
819,9.05E-01
820,8.62E-01
821,9.98E-01
822,9.52E-01
823,6.73E-01
824,9.35E-01
825,9.69E-01
826,9.34E-01
827,9.85E-01
828,8.50E-01
829,9.29E-01
830,9.16E-01
831,9.24E-01
832,8.94E-01
833,9.57E-01
834,9.34E-01
835,1.00E+00
836,9.72E-01
837,1.01E+00
838,9.99E-01
839,1.00E+00
840,1.02E+00
841,1.01E+00
842,9.97E-01
843,1.01E+00
844,9.86E-01
845,1.02E+00
846,1.02E+00
847,9.92E-01
848,9.92E-01
849,9.86E-01
850,8.94E-01
851,9.75E-01
852,9.69E-01
853,9.65E-01
854,8.51E-01
855,9.13E-01
856,9.73E-01
857,9.92E-01
858,9.92E-01
859,9.92E-01
860,9.88E-01
861,9.87E-01
862,9.94E-01
863,1.00E+00
864,9.79E-01
865,9.63E-01
866,8.49E-01
867,9.15E-01
868,9.59E-01
869,9.50E-01
870,9.68E-01
871,9.54E-01
872,9.67E-01
873,9.57E-01
874,9.40E-01
875,9.27E-01
876,9.53E-01
877,9.56E-01
878,9.52E-01
879,9.37E-01
880,9.40E-01
881,9.09E-01
882,9.32E-01
883,9.29E-01
884,9.33E-01
885,9.44E-01
886,9.08E-01
887,9.11E-01
888,9.22E-01
889,9.35E-01
890,9.24E-01
891,9.26E-01
892,9.09E-01
893,8.73E-01
894,8.51E-01
895,8.14E-01
896,7.63E-01
897,6.66E-01
898,7.18E-01
899,5.49E-01
900,7.43E-01
901,5.99E-01
902,6.68E-01
903,6.89E-01
904,8.45E-01
905,8.17E-01
906,7.76E-01
907,6.39E-01
908,6.52E-01
909,7.04E-01
910,6.25E-01
911,6.68E-01
912,6.89E-01
913,6.28E-01
914,6.26E-01
915,6.78E-01
916,5.76E-01
917,7.30E-01
918,5.93E-01
919,7.39E-01
920,7.44E-01
921,7.80E-01
922,7.00E-01
923,7.45E-01
924,7.22E-01
925,7.11E-01
926,7.03E-01
927,7.87E-01
928,5.90E-01
929,5.51E-01
930,4.32E-01
931,4.09E-01
932,3.01E-01
933,2.48E-01
934,1.44E-01
935,2.51E-01
936,1.61E-01
937,1.63E-01
938,2.01E-01
939,3.99E-01
940,4.72E-01
941,3.72E-01
942,4.05E-01
943,2.78E-01
944,2.86E-01
945,3.68E-01
946,1.95E-01
947,3.71E-01
948,2.74E-01
949,4.94E-01
950,1.47E-01
951,4.84E-01
952,2.69E-01
953,3.44E-01
954,4.24E-01
955,3.41E-01
956,3.28E-01
957,2.71E-01
958,4.61E-01
959,3.74E-01
960,4.21E-01
961,4.61E-01
962,4.42E-01
963,5.05E-01
964,4.59E-01
965,5.04E-01
966,5.03E-01
967,5.02E-01
968,6.52E-01
969,6.86E-01
970,6.35E-01
971,7.14E-01
972,6.88E-01
973,6.06E-01
974,5.75E-01
975,5.90E-01
976,5.72E-01
977,6.39E-01
978,6.15E-01
979,6.38E-01
980,6.05E-01
981,7.13E-01
982,6.92E-01
983,6.69E-01
984,7.37E-01
985,6.88E-01
986,7.51E-01
987,7.39E-01
988,7.35E-01
989,7.49E-01
990,7.32E-01
991,7.54E-01
992,7.51E-01
993,7.37E-01
994,7.54E-01
995,7.52E-01
996,7.49E-01
997,7.40E-01
998,7.39E-01
999,7.39E-01
1000,7.35E-01
1001,7.44E-01
1002,7.28E-01
1003,7.34E-01
1004,7.23E-01
1005,6.82E-01
1006,7.13E-01
1007,7.28E-01
1008,7.27E-01
1009,7.20E-01
1010,7.19E-01
1011,7.23E-01
1012,7.19E-01
1013,7.18E-01
1014,7.21E-01
1015,7.08E-01
1016,7.11E-01
1017,7.03E-01
1018,7.14E-01
1019,6.89E-01
1020,6.99E-01
1021,7.02E-01
1022,6.90E-01
1023,6.95E-01
1024,6.91E-01
1025,6.98E-01
1026,6.96E-01
1027,6.93E-01
1028,6.94E-01
1029,6.86E-01
1030,6.91E-01
1031,6.87E-01
1032,6.88E-01
1033,6.76E-01
1034,6.80E-01
1035,6.82E-01
1036,6.82E-01
1037,6.75E-01
1038,6.72E-01
1039,6.76E-01
1040,6.72E-01
1041,6.72E-01
1042,6.72E-01
1043,6.65E-01
1044,6.68E-01
1045,6.65E-01
1046,6.47E-01
1047,6.57E-01
1048,6.63E-01
1049,6.59E-01
1050,6.55E-01
1051,6.55E-01
1052,6.51E-01
1053,6.49E-01
1054,6.46E-01
1055,6.48E-01
1056,6.46E-01
1057,6.45E-01
1058,6.38E-01
1059,6.19E-01
1060,6.36E-01
1061,6.21E-01
1062,6.33E-01
1063,6.22E-01
1064,6.32E-01
1065,6.29E-01
1066,6.17E-01
1067,6.20E-01
1068,6.19E-01
1069,5.86E-01
1070,6.05E-01
1071,6.17E-01
1072,6.15E-01
1073,6.04E-01
1074,6.22E-01
1075,5.93E-01
1076,6.15E-01
1077,6.04E-01
1078,6.03E-01
1079,6.05E-01
1080,5.97E-01
1081,5.81E-01
1082,5.89E-01
1083,5.98E-01
1084,5.79E-01
1085,5.93E-01
1086,5.54E-01
